ProteinAccession,TaxonomyID,SpeciesName,GenomeAccession,Lineage,Genus2,URL
ADD22705,717641,Chicken parvovirus ABU-P1,GU214704.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Aveparvovirus;Galliform aveparvovirus 1,Aveparvovirus,http://www.ncbi.nlm.nih.gov/nuccore/GU214704.1
AEX38011,1131483,Eidolon helvum (bat) parvovirus,JQ037753.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Tetraparvovirus;Chiropteran tetraparvovirus 1,Tetraparvovirus,http://www.ncbi.nlm.nih.gov/nuccore/JQ037753.1
AAA74973,31598,Simian parvovirus,U26342.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Erythroparvovirus;Primate erythroparvovirus 2,Erythroparvovirus,http://www.ncbi.nlm.nih.gov/nuccore/U26342.1
AAF61212,119756,Rhesus macaque parvovirus,AF221122.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Erythroparvovirus;Primate erythroparvovirus 3,Erythroparvovirus,http://www.ncbi.nlm.nih.gov/nuccore/AF221122.1
ADF32027,754189,Parvovirus YX-2010/CHN,GU938300.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Tetraparvovirus;Ungulate tetraparvovirus 3;Porcine Cnvirus,Tetraparvovirus,http://www.ncbi.nlm.nih.gov/nuccore/GU938300.1
AAF61213,119755,Pig-tailed macaque parvovirus,AF221123.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Erythroparvovirus;Primate erythroparvovirus 4,Erythroparvovirus,http://www.ncbi.nlm.nih.gov/nuccore/AF221123.1
AAC40694,74581,Rat parvovirus 1,AF036710.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus;Rodent protoparvovirus 2,Protoparvovirus,http://www.ncbi.nlm.nih.gov/nuccore/AF036710.1
AAL91012,10798,Human parvovirus B19,AY083234.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Erythroparvovirus;Primate erythroparvovirus 1,Erythroparvovirus,http://www.ncbi.nlm.nih.gov/nuccore/AY083234.1
AAL55416,182494,Human parvovirus B19 - A6,AY064475.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Erythroparvovirus;Primate erythroparvovirus 1;Human parvovirus B19,Erythroparvovirus,http://www.ncbi.nlm.nih.gov/nuccore/AY064475.1
AAA66866,10798,Human parvovirus B19,M13178.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Erythroparvovirus;Primate erythroparvovirus 1,Erythroparvovirus,http://www.ncbi.nlm.nih.gov/nuccore/M13178.1
AAL55416,182494,Human parvovirus B19 - A6,AY064475.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Erythroparvovirus;Primate erythroparvovirus 1;Human parvovirus B19,Erythroparvovirus,http://www.ncbi.nlm.nih.gov/nuccore/AY064475.1
AAA66866,10798,Human parvovirus B19,M13178.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Erythroparvovirus;Primate erythroparvovirus 1,Erythroparvovirus,http://www.ncbi.nlm.nih.gov/nuccore/M13178.1
