ADP36995__HQ223038.1,HQ223038.1_Bocavirus pig/SX/China/2010,912967,Bocavirus pig/SX/China/2010,Viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Ungulate bocaparvovirus 3;Porcine bocavirus SX,HQ223038.1,Ungulate bocaparvovirus 3,Porcine bocavirus SX,HQ223038.1_Viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Ungulate bocaparvovirus 3;Porcine bocavirus SX,ADP36995,HQ223038.1
ABY67706__EU200677.1,EU200677.1_Porcine hokovirus,494652,Porcine hokovirus,Viruses;Parvoviridae;Parvovirinae;Tetraparvovirus;Ungulate tetraparvovirus 2,EU200677.1,Ungulate tetraparvovirus 2,Ungulate tetraparvovirus 2,EU200677.1_Viruses;Parvoviridae;Parvovirinae;Tetraparvovirus;Ungulate tetraparvovirus 2,ABY67706,EU200677.1
AEI99166__HQ291308.1,HQ291308.1_Porcine bocavirus H18,1511887,Porcine bocavirus H18,Viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Ungulate bocaparvovirus 4,HQ291308.1,Ungulate bocaparvovirus 4,Ungulate bocaparvovirus 4,HQ291308.1_Viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Ungulate bocaparvovirus 4,AEI99166,HQ291308.1
AEP95278__JN202450.1,JN202450.1_Gray fox amdovirus,1093101,Gray fox amdovirus,Viruses;Parvoviridae;Parvovirinae;Amdoparvovirus;Carnivore amdoparvovirus 2,JN202450.1,Carnivore amdoparvovirus 2,Carnivore amdoparvovirus 2,JN202450.1_Viruses;Parvoviridae;Parvovirinae;Amdoparvovirus;Carnivore amdoparvovirus 2,AEP95278,JN202450.1
AIC77176__KJ631100.1,KJ631100.1_Tumor virus X,1507809,Tumor virus X,Viruses;Parvoviridae;Parvovirinae;Protoparvovirus;Rodent protoparvovirus 1,KJ631100.1,Rodent protoparvovirus 1,Rodent protoparvovirus 1,KJ631100.1_Viruses;Parvoviridae;Parvovirinae;Protoparvovirus;Rodent protoparvovirus 1,AIC77176,KJ631100.1
AGW95844__KC876004.1,KC876004.1_Pigeon parvovirus A,1399967,Pigeon parvovirus A,Viruses;Parvoviridae;unclassified Parvoviridae,KC876004.1,undef,unclassified Parvoviridae,KC876004.1_Viruses;Parvoviridae;unclassified Parvoviridae,AGW95844,KC876004.1
AAA83224__U22967.1,U22967.1_Muscovy duck parvovirus,37325,Muscovy duck parvovirus,Viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;Anseriform dependoparvovirus 1;Duck parvovirus,U22967.1,Anseriform dependoparvovirus 1,Duck parvovirus,U22967.1_Viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;Anseriform dependoparvovirus 1;Duck parvovirus,AAA83224,U22967.1
AAN03856__AF513852.1,AF513852.1_Adeno-associated virus - 8,202813,Adeno-associated virus - 8,Viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;Adeno-associated dependoparvovirus A;Adeno-associated virus - 4,AF513852.1,Adeno-associated dependoparvovirus A,Adeno-associated virus - 4,AF513852.1_Viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;Adeno-associated dependoparvovirus A;Adeno-associated virus - 4,AAN03856,AF513852.1
AAB95451__AF028705.1,AF028705.1_Adeno-associated virus 3B,68742,Adeno-associated virus 3B,Viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;Adeno-associated dependoparvovirus A;Adeno-associated virus - 3,AF028705.1,Adeno-associated dependoparvovirus A,Adeno-associated virus - 3,AF028705.1_Viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;Adeno-associated dependoparvovirus A;Adeno-associated virus - 3,AAB95451,AF028705.1
AAC03775__AF043303.1,AF043303.1_Adeno-associated virus - 2,10804,Adeno-associated virus - 2,Viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;Adeno-associated dependoparvovirus A,AF043303.1,Adeno-associated dependoparvovirus A,Adeno-associated dependoparvovirus A,AF043303.1_Viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;Adeno-associated dependoparvovirus A,AAC03775,AF043303.1
